2019-05-06 18:41:00,137 DEBUG [SpringJUnit4ClassRunner]  - SpringJUnit4ClassRunner constructor called with [class tau.mmo.service.PlayerManagerTest]
2019-05-06 18:41:00,144 DEBUG [BootstrapUtils]  - Instantiating CacheAwareContextLoaderDelegate from class [org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate]
2019-05-06 18:41:00,169 DEBUG [BootstrapUtils]  - Instantiating BootstrapContext using constructor [public org.springframework.test.context.support.DefaultBootstrapContext(java.lang.Class,org.springframework.test.context.CacheAwareContextLoaderDelegate)]
2019-05-06 18:41:00,178 DEBUG [BootstrapUtils]  - Instantiating TestContextBootstrapper for test class [tau.mmo.service.PlayerManagerTest] from class [org.springframework.test.context.support.DefaultTestContextBootstrapper]
2019-05-06 18:41:00,197 DEBUG [AbstractDelegatingSmartContextLoader]  - Delegating to GenericXmlContextLoader to process context configuration [ContextConfigurationAttributes@5542c4ed declaringClass = 'tau.mmo.service.PlayerManagerTest', classes = '{}', locations = '{classpath:/beans.xml}', inheritLocations = true, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'org.springframework.test.context.ContextLoader'].
2019-05-06 18:41:00,232 DEBUG [ActiveProfilesUtils]  - Could not find an 'annotation declaring class' for annotation type [org.springframework.test.context.ActiveProfiles] and class [tau.mmo.service.PlayerManagerTest]
2019-05-06 18:41:00,232 DEBUG [DefaultTestContextBootstrapper]  - @TestExecutionListeners is not present for class [tau.mmo.service.PlayerManagerTest]: using defaults.
2019-05-06 18:41:00,232 INFO  [DefaultTestContextBootstrapper]  - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-05-06 18:41:00,235 DEBUG [DefaultTestContextBootstrapper]  - Skipping candidate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener] due to a missing dependency. Specify custom listener classes or make the default listener classes and their required dependencies available. Offending class: [javax/servlet/ServletContext]
2019-05-06 18:41:00,244 INFO  [DefaultTestContextBootstrapper]  - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@68e5eea7, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@291b4bf5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2d2ffcb7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@762ef0ea, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@31f9b85e]
2019-05-06 18:41:00,245 DEBUG [ProfileValueUtils]  - Retrieved @ProfileValueSourceConfiguration [null] for test class [tau.mmo.service.PlayerManagerTest]
2019-05-06 18:41:00,245 DEBUG [ProfileValueUtils]  - Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [tau.mmo.service.PlayerManagerTest]
2019-05-06 18:41:00,246 DEBUG [ProfileValueUtils]  - Retrieved @ProfileValueSourceConfiguration [null] for test class [tau.mmo.service.PlayerManagerTest]
2019-05-06 18:41:00,246 DEBUG [ProfileValueUtils]  - Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [tau.mmo.service.PlayerManagerTest]
2019-05-06 18:41:00,250 DEBUG [AbstractDirtiesContextTestExecutionListener]  - Before test class: context [DefaultTestContext@6236eb5f testClass = PlayerManagerTest, testInstance = [null], testMethod = [null], testException = [null], mergedContextConfiguration = [MergedContextConfiguration@7c1e2a9e testClass = PlayerManagerTest, locations = '{classpath:/beans.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]], attributes = map[[empty]]], class annotated with @DirtiesContext [false] with mode [null].
2019-05-06 18:41:00,250 DEBUG [ProfileValueUtils]  - Retrieved @ProfileValueSourceConfiguration [null] for test class [tau.mmo.service.PlayerManagerTest]
2019-05-06 18:41:00,250 DEBUG [ProfileValueUtils]  - Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [tau.mmo.service.PlayerManagerTest]
